title,release_year,runtime,id,director,user_reviews,star_rating,vote_count,gross_revenue (million USD),release_month,spring,summer,fall,winter,is_popular_director,G,PG,PG-13,R,Unrated
3851_alaska,1996,109,tt0115493,Fraser C. Heston,41,5.8,6000,23.659918,August,0,1,0,0,0,0,1,0,0,0
3852_the_cookout,2004,97,tt0380277,Lance Rivera,13,3.8,3500,23.823089,September,0,0,1,0,0,0,0,1,0,0
3853_bloodsport,1988,92,tt0092675,Newt Arnold,323,6.4,99000,23.613704,April,1,0,0,0,0,0,0,0,1,0
3854_meet_dave,2008,90,tt0765476,Brian Robbins,151,8.0,45000,63.142821,July,0,1,0,0,0,0,1,0,0,0
3855_3_ninjas_kick_back,1994,93,tt0109015,Charles T. Kanganis,31,10.0,10000,23.597708,May,1,0,0,0,0,0,1,0,0,0
3856_zelig,1983,79,tt0086637,Woody Allen,134,7.6,45000,23.597232,August,0,1,0,0,1,0,1,0,0,0
3857_caddyshack_ii,1988,98,tt0094824,Allan Arkush,110,7.2,17000,23.596604,July,0,1,0,0,0,0,1,0,0,0
3858_the_lords_of_discipline,1983,102,tt0085867,Franc Roddam,32,6.6,3100,23.574254,February,0,0,0,1,0,0,0,0,1,0
3859_x,2022,105,tt13560574,Ti West,1000,6.0,207000,26.514518,March,1,0,0,0,0,0,0,0,1,0
3860_dave_chappelles_block_party,2005,103,tt0425598,Michel Gondry,74,7.2,9700,23.770519,March,1,0,0,0,0,0,0,0,1,0
3861_knockaround_guys,2001,92,tt0211465,Brian Koppelman,152,6.0,25000,24.522251,October,0,0,1,0,0,0,0,0,1,0
3862_used_cars,1980,113,tt0081698,Robert Zemeckis,130,6.8,18000,23.430642,July,0,1,0,0,1,0,0,0,1,0
3863_up_the_creek,1984,96,tt0088333,Robert Butler,43,5.1,4100,23.416538,April,1,0,0,0,0,0,0,0,1,0
3864_fifty_shades_of_black,2016,92,tt4667094,Michael Tiddes,111,3.5,24000,33.914454,January,0,0,0,1,0,0,0,0,1,0
3865_gone,2012,94,tt1838544,Heitor Dhalia,174,6.3,47000,31.44974,February,0,0,0,1,0,0,0,1,0,0
3866_surviving_christmas,2004,91,tt0252028,Mike Mitchell,171,5.5,29000,26.788843,October,0,0,1,0,0,0,0,1,0,0
3867_far_from_home_the_adventures_of_yellow_dog,1995,81,tt0113028,Phillip Borsos,23,6.3,3400,23.285892,January,0,0,0,1,0,0,1,0,0,0
3868_halloween_5_the_revenge_of_michael_myers,1989,96,tt0097474,Dominique Othenin-Girard,431,5.8,49000,23.284508,October,0,0,1,0,0,0,0,0,1,0
3869_bros,2022,115,tt9731598,Nicholas Stoller,305,6.7,38000,26.410032,September,0,0,1,0,0,0,0,0,1,0
3870_the_muse,1999,97,tt0164108,Albert Brooks,147,5.7,12000,23.285515,August,0,1,0,0,0,0,0,1,0,0
3871_the_last_kiss,2006,104,tt0434139,Tony Goldwyn,178,6.4,43000,27.467191,September,0,0,1,0,0,0,0,0,1,0
3872_gross_anatomy,1989,109,tt0097458,Thom Eberhardt,24,6.9,4200,23.209196,October,0,0,1,0,0,0,0,1,0,0
3873_so_i_married_an_axe_murderer,1993,93,tt0108174,Thomas Schlamme,159,6.2,44000,23.170966,July,0,1,0,0,0,0,0,1,0,0
3874_get_over_it,2001,87,tt0192071,Tommy O'Haver,193,6.4,21000,31.47683,March,1,0,0,0,0,0,0,1,0,0
3875_henry__june,1990,136,tt0099762,Philip Kaufman,63,10.0,15000,35.039898,October,0,0,1,0,0,0,0,0,1,0
3876_police_academy_6_city_under_siege,1989,84,tt0098105,Peter Bonerz,78,4.4,34000,23.134434,March,1,0,0,0,0,0,1,0,0,0
3877_pump_up_the_volume,1990,102,tt0100436,Allan Moyle,143,5.9,32000,23.083516,August,0,1,0,0,0,0,0,0,1,0
3878_boys_dont_cry,1999,118,tt0171804,Kimberly Peirce,464,7.3,106000,23.081214,March,1,0,0,0,0,0,0,0,1,0
3879_turbulence,1997,100,tt0120390,Robert Butler,118,5.0,13000,23.07647,January,0,0,0,1,0,0,0,0,1,0
3880_the_conspirator,2010,122,tt0968264,Robert Redford,162,6.9,30000,27.163748,April,1,0,0,0,0,0,0,1,0,0
3881_the_longshots,2008,94,tt1091751,Fred Durst,31,4.3,4600,23.304912,August,0,1,0,0,0,0,1,0,0,0
3882_super_size_me,2004,100,tt0390521,Morgan Spurlock,456,7.1,115000,32.18218,June,0,1,0,0,0,0,0,1,0,0
3883_fair_game,1995,91,tt0113010,Andrew Sipes,77,5.2,14000,23.068954,November,0,0,1,0,0,0,0,0,1,0
3884_just_one_of_the_guys,1985,100,tt0089393,Lisa Gottlieb,98,6.8,19000,23.0578,April,1,0,0,0,0,0,0,1,0,0
3885_mulholland_falls,1996,107,tt0117107,Lee Tamahori,144,6.4,20000,23.052198,April,1,0,0,0,0,0,0,0,1,0
3886_shattered,1991,98,tt0102900,Wolfgang Petersen,78,6.5,12000,23.022062,October,0,0,1,0,0,0,0,0,1,0
3887_army_of_darkness,1992,81,tt0106308,Sam Raimi,759,7.7,202000,23.017615,February,0,0,0,1,0,0,0,0,1,0
3888_the_words,2012,102,tt1840417,Brian Klugman,190,6.6,83000,27.445002,September,0,0,1,0,0,0,0,1,0,0
